Order_ID,Order_Date,Customer_ID,City,Category,Product_Name,Quantity,Unit_Price,Revenue,Cost,Profit,Payment_Method,Sales_Channel,Customer_Rating,Marketing_Campaign,Customer_Type,discount_percentage,cost_validation,Month,Month_number
100001,27/02/2024,C1234,Vizag,Home,Lamp,5,1999.00,7496.25,5956.29,1539.96,Debit Card,Store,3.00,Festival Offer,Returning,0.25,TRUE,February,2
100002,07/05/2025,C1380,Delhi,Fashion,Jeans,5,1333.00,5998.50,3155.75,2842.75,Wallet,Online,3.00,Festival Offer,Returning,0.10,TRUE,May,5
100003,16/03/2024,C1128,Chennai,Home,Cookware,5,3565.00,15151.25,14625.46,525.79,Cash,Store,3.00,Festival Offer,New,0.15,TRUE,March,3
100004,30/04/2025,C1531,Mumbai,Sports,Football,1,518.00,492.10,399.44,92.66,Wallet,Online,3.00,Festival Offer,Returning,0.05,TRUE,April,4
100005,04/06/2024,C1422,Pune,Electronics,Laptop,2,355.00,603.50,419.72,183.78,Wallet,Store,3.00,Festival Offer,New,0.15,TRUE,June,6
100006,14/04/2025,C1663,Chennai,Fashion,Jacket,3,1779.00,5337.00,3195.84,2141.16,UPI,Store,3.00,Festival Offer,Returning,0.00,TRUE,April,4
100007,06/12/2024,C1310,Hyderabad,Electronics,Phone,5,4778.00,22695.50,15904.23,6791.27,Credit Card,Online,3.00,Festival Offer,New,0.05,TRUE,December,12
100008,14/08/2024,C1759,Bengaluru,Unavailable,Shoes,3,3590.00,10770.00,7572.78,3197.22,Wallet,Store,3.00,Festival Offer,Returning,0.00,TRUE,August,8
100009,20/07/2025,C1615,Delhi,Grocery,Oil,2,2468.00,3702.00,2408.33,1293.67,Debit Card,Online,3.00,Festival Offer,New,0.25,TRUE,July,7
100010,25/04/2024,C1246,Mumbai,Beauty,Cream,3,647.00,1843.95,1305.71,538.24,UPI,Online,3.00,Festival Offer,Returning,0.05,TRUE,April,4
100011,24/02/2024,C1686,Hyderabad,Home,Chair,5,1072.00,5360.00,3330.66,2029.34,Credit Card,Store,3.00,Festival Offer,New,0.00,TRUE,February,2
100012,08/04/2025,C1104,Delhi,Beauty,Perfume,2,4633.00,9266.00,5665.30,3600.70,Wallet,Online,3.00,Festival Offer,Returning,0.00,TRUE,April,4
100013,13/09/2024,C1100,Bengaluru,Sports,Yoga Mat,5,799.00,3595.50,3005.27,590.23,Cash,Store,3.00,Festival Offer,New,0.10,TRUE,September,9
100014,23/09/2025,C1675,Chennai,Grocery,Rice,2,2803.00,4765.10,3659.54,1105.56,Credit Card,Store,3.00,Festival Offer,New,0.15,TRUE,September,9
100015,16/06/2025,C1007,Mumbai,Grocery,Oil,1,258.00,206.40,176.77,29.63,Debit Card,Store,3.00,Festival Offer,Returning,0.20,TRUE,June,6
100016,08/02/2024,C1741,Mumbai,Electronics,Laptop,3,2016.00,5443.20,2939.44,2503.76,Cash,Store,3.00,Festival Offer,Returning,0.10,TRUE,February,2
100017,03/07/2024,C1585,Bengaluru,Fashion,Jacket,3,3190.00,8134.50,5510.72,2623.78,Credit Card,Online,3.00,Festival Offer,Returning,0.15,TRUE,July,7
100018,24/09/2025,C1463,Chennai,Electronics,Phone,2,2572.00,5144.00,3789.08,1354.92,Cash,Online,3.00,Festival Offer,New,0.00,TRUE,September,9
100019,13/02/2024,C1762,Delhi,Home,Cookware,3,2846.00,8111.10,6259.41,1851.69,Debit Card,Store,3.00,Festival Offer,Returning,0.05,TRUE,February,2
100020,27/11/2024,C1701,Delhi,Sports,Bat,2,786.00,1414.80,1256.89,157.91,Cash,Store,3.00,Festival Offer,Returning,0.10,TRUE,November,11
